bandwidth,start_time_elapsed
2.63616,0.0
2.381968,5.0
2.469192,10.0
2.433024,15.0
2.21188,20.0
2.26732,25.0
2.358688,30.0
2.165304,35.0
2.072696,40.0
1.99268,45.0
1.966288,50.0
2.086536,55.0
2.147032,60.0
2.197808,65.0
1.949128,70.0
2.32224,75.0
2.352128,80.0
2.858864,85.0
1.890512,90.0
2.057208,95.0
2.15624,100.0
2.364712,105.0
1.600232,110.0
2.457192,115.0
2.616072,120.0
2.367712,125.0
1.727088,130.0
2.180584,135.0
1.827968,140.0
2.241752,145.0
2.40708,150.0
2.339344,155.0
2.599488,160.0
2.252256,165.0
2.403688,170.0
2.36652,175.0
2.332864,180.0
2.459976,185.0
2.879728,190.0
2.910072,195.0
2.28804,200.0
2.28176,205.0
2.170576,210.0
2.071792,215.0
2.062088,220.0
2.10496,225.0
2.544832,230.0
1.987872,235.0
2.345352,240.0
2.16264,245.0
2.266016,250.0
2.464376,255.0
2.423384,260.0
2.338552,265.0
2.34076,270.0
2.13192,275.0
2.17864,280.0
2.194128,285.0
2.192608,290.0
