start_time,end_time,size,trans_time,cwnd,rtt,rto,ssthresh,last_snd,min_rtt,delivery_rate,bytes_sent,bytes_retrans,client_trans_time
2020-08-24T13:51:07.295000Z,2020-08-24T13:51:07.427000Z,178.468,132.0,634.0,62.101,0.0,0.0,0.0,60.95,7.123218,0.0,0.0,0.0
2020-08-24T13:51:07.428000Z,2020-08-24T13:51:07.511000Z,145.532,83.0,642.0,62.232,0.0,0.0,0.0,60.95,3.100924,0.0,0.0,0.0
2020-08-24T13:51:07.511000Z,2020-08-24T13:51:07.635000Z,69.904,124.0,642.0,62.266,0.0,0.0,0.0,60.95,3.100924,0.0,0.0,0.0
2020-08-24T13:51:07.636000Z,2020-08-24T13:51:07.707000Z,66.423,71.0,642.0,62.11,0.0,0.0,0.0,60.95,0.983962,0.0,0.0,0.0
2020-08-24T13:51:07.708000Z,2020-08-24T13:51:07.782000Z,81.968,74.0,642.0,62.133,0.0,0.0,0.0,60.95,0.983962,0.0,0.0,0.0
2020-08-24T13:51:07.782000Z,2020-08-24T13:51:07.873000Z,151.899,91.0,642.0,62.211,0.0,0.0,0.0,60.95,1.156085,0.0,0.0,0.0
2020-08-24T13:51:07.873000Z,2020-08-24T13:51:07.988000Z,364.15,115.0,642.0,62.226,0.0,0.0,0.0,60.95,2.214055,0.0,0.0,0.0
2020-08-24T13:51:07.988999Z,2020-08-24T13:51:08.167000Z,846.443,178.0,642.0,62.139,0.0,0.0,0.0,60.95,3.411294,0.0,0.0,0.0
2020-08-24T13:51:08.896999Z,2020-08-24T13:51:09.055000Z,835.402,158.0,820.0,62.168,0.0,0.0,0.0,60.95,6.722956,0.0,0.0,0.0
2020-08-24T13:51:10.903000Z,2020-08-24T13:51:11.065999Z,817.46,163.0,840.0,62.129,0.0,0.0,0.0,60.95,9.362837,0.0,0.0,0.0
2020-08-24T13:51:12.912000Z,2020-08-24T13:51:13.068000Z,917.999,156.0,868.0,62.324,0.0,0.0,0.0,60.95,9.548896,0.0,0.0,0.0
2020-08-24T13:51:14.916999Z,2020-08-24T13:51:15.054000Z,776.514,137.0,974.0,62.329,0.0,0.0,0.0,60.95,10.83099,0.0,0.0,0.0
