bandwidth,start_time_elapsed
3.706304,0.0
3.732976,5.0
3.686608,10.0
3.806464,15.0
3.70524,20.0
2.499272,25.0
3.361424,30.0
3.584136,35.0
3.467464,40.0
3.349784,45.0
3.566088,50.0
3.49496,55.0
3.604376,60.0
3.598848,65.0
3.803584,70.0
3.348816,75.0
3.66808,80.0
3.673248,85.0
3.701784,90.0
3.01256,95.0
2.20692,100.0
3.657144,105.0
2.523528,110.0
3.1766,115.0
3.740296,120.0
3.773392,125.0
3.673696,130.0
3.605592,135.0
3.728968,140.0
3.66568,145.0
3.209656,150.0
3.522056,155.0
3.600256,160.0
3.273152,165.0
3.700472,170.0
3.634016,175.0
3.65548,180.0
3.647384,185.0
3.784072,190.0
3.707312,195.0
3.719936,200.0
3.667128,205.0
3.697352,210.0
3.662776,215.0
3.7034,220.0
3.353544,225.0
3.41272,230.0
3.757216,235.0
3.735648,240.0
3.705168,245.0
3.6896,250.0
3.620928,255.0
3.673496,260.0
3.691472,265.0
3.621992,270.0
3.255736,275.0
3.630416,280.0
2.935216,285.0
3.727872,290.0
