Branch,Standard Deviation (Head),Standard Deviation (Rest)
0,0.5005132311389322,0.2502591311400679
1,0.5005132311389322,0.2502591311400679
2,0.5005132311389322,0.2502591311400679
3,0.5005132311389322,0.2502591311400679
