start_time,bandwidth
2020-08-24T15:59:36.648000Z,30.0
2020-08-24T15:59:36.648000Z,30.0
2020-08-24T15:59:41.648000Z,30.0
2020-08-24T15:59:46.648000Z,30.0
2020-08-24T15:59:51.648000Z,30.0
2020-08-24T15:59:56.648000Z,30.0
2020-08-24T16:00:01.648000Z,30.0
2020-08-24T16:00:06.648000Z,30.0
2020-08-24T16:00:11.648000Z,30.0
2020-08-24T16:00:16.648000Z,30.0
2020-08-24T16:00:21.648000Z,30.0
2020-08-24T16:00:26.648000Z,30.0
2020-08-24T16:00:31.648000Z,30.0
2020-08-24T16:00:36.648000Z,30.0
2020-08-24T16:00:41.648000Z,30.0
2020-08-24T16:00:46.648000Z,30.0
2020-08-24T16:00:51.648000Z,30.0
2020-08-24T16:00:56.648000Z,30.0
2020-08-24T16:01:01.648000Z,30.0
2020-08-24T16:01:06.648000Z,30.0
2020-08-24T16:01:11.648000Z,30.0
2020-08-24T16:01:16.648000Z,30.0
2020-08-24T16:01:21.648000Z,30.0
2020-08-24T16:01:26.648000Z,30.0
2020-08-24T16:01:31.648000Z,30.0
2020-08-24T16:01:36.648000Z,30.0
2020-08-24T16:01:41.648000Z,30.0
2020-08-24T16:01:46.648000Z,30.0
2020-08-24T16:01:51.648000Z,30.0
2020-08-24T16:01:56.648000Z,30.0
2020-08-24T16:02:01.648000Z,30.0
2020-08-24T16:02:06.648000Z,30.0
2020-08-24T16:02:11.648000Z,30.0
2020-08-24T16:02:16.648000Z,30.0
2020-08-24T16:02:21.648000Z,30.0
2020-08-24T16:02:26.648000Z,30.0
2020-08-24T16:02:31.648000Z,30.0
2020-08-24T16:02:36.648000Z,30.0
2020-08-24T16:02:41.648000Z,30.0
2020-08-24T16:02:46.648000Z,30.0
2020-08-24T16:02:51.648000Z,30.0
2020-08-24T16:02:56.648000Z,30.0
2020-08-24T16:03:01.648000Z,30.0
2020-08-24T16:03:06.648000Z,30.0
2020-08-24T16:03:11.648000Z,30.0
2020-08-24T16:03:16.648000Z,30.0
2020-08-24T16:03:21.648000Z,30.0
2020-08-24T16:03:26.648000Z,30.0
2020-08-24T16:03:31.648000Z,30.0
2020-08-24T16:03:36.648000Z,30.0
2020-08-24T16:03:41.648000Z,30.0
2020-08-24T16:03:46.648000Z,30.0
2020-08-24T16:03:51.648000Z,30.0
2020-08-24T16:03:56.648000Z,30.0
2020-08-24T16:04:01.648000Z,30.0
2020-08-24T16:04:06.648000Z,30.0
2020-08-24T16:04:11.648000Z,30.0
2020-08-24T16:04:16.648000Z,30.0
2020-08-24T16:04:21.648000Z,30.0
2020-08-24T16:04:26.648000Z,30.0
2020-08-24T16:04:31.648000Z,30.0
2020-08-24T16:04:36.648000Z,30.0
2020-08-24T16:04:41.648000Z,30.0
2020-08-24T16:04:46.648000Z,30.0
2020-08-24T16:04:51.648000Z,30.0
2020-08-24T16:04:56.648000Z,30.0
2020-08-24T16:05:01.648000Z,30.0
2020-08-24T16:05:06.648000Z,30.0
