bandwidth,start_time_elapsed
2.814752,0.0
2.619224,5.0
2.85264,10.0
3.064488,15.0
2.84512,20.0
2.946152,25.0
2.023,30.0
3.035312,35.0
3.401384,40.0
3.21828,45.0
2.020296,50.0
3.391216,55.0
2.850616,60.0
3.035312,65.0
2.915024,70.0
3.611656,75.0
2.805992,80.0
2.831128,85.0
3.033464,90.0
2.88336,95.0
2.766816,100.0
2.860864,105.0
3.069032,110.0
2.888648,115.0
2.854112,120.0
2.809088,125.0
3.264464,130.0
3.03412,135.0
3.334032,140.0
3.959024,145.0
2.82372,150.0
2.805816,155.0
3.613064,160.0
3.057352,165.0
2.853504,170.0
2.695064,175.0
2.852928,180.0
2.847856,185.0
2.824752,190.0
2.92428,195.0
3.121712,200.0
4.194504,205.0
2.82428,210.0
2.883096,215.0
2.845272,220.0
3.12016,225.0
2.847696,230.0
2.860728,235.0
3.110448,240.0
3.104368,245.0
2.887968,250.0
2.911288,255.0
3.983976,260.0
3.08752,265.0
4.10256,270.0
2.865112,275.0
2.861632,280.0
4.056752,285.0
2.86104,290.0
