bandwidth,start_time_elapsed
3.52864,0.0
3.487728,5.0
3.610056,10.0
3.606856,15.0
3.187968,20.0
3.53832,25.0
3.580736,30.0
3.207072,35.0
3.57048,40.0
3.588488,45.0
3.604096,50.0
3.499968,55.0
3.585232,60.0
2.789128,65.0
3.209544,70.0
3.585752,75.0
3.210224,80.0
3.6054,85.0
3.209472,90.0
3.210192,95.0
3.200336,100.0
3.600728,105.0
3.192752,110.0
3.20988,115.0
3.614768,120.0
3.574272,125.0
3.202936,130.0
3.6148,135.0
3.604352,140.0
3.609816,145.0
3.612464,150.0
3.172408,155.0
3.55596,160.0
3.214568,165.0
3.210448,170.0
3.607744,175.0
3.19392,180.0
3.583304,185.0
3.211712,190.0
3.206344,195.0
3.077352,200.0
3.578808,205.0
3.5862,210.0
3.128744,215.0
3.61108,220.0
3.551384,225.0
3.561384,230.0
3.54052,235.0
3.585352,240.0
3.602776,245.0
3.591728,250.0
3.61076,255.0
3.610024,260.0
3.580024,265.0
3.602272,270.0
3.558016,275.0
3.594176,280.0
3.57524,285.0
3.603992,290.0
