bandwidth,start_time_elapsed
2.018576,0.0
2.267064,5.0
1.960288,10.0
2.31796,15.0
2.147816,20.0
2.105616,25.0
2.33888,30.0
2.272328,35.0
2.435048,40.0
1.995928,45.0
2.325584,50.0
2.038168,55.0
2.052024,60.0
2.118744,65.0
2.297688,70.0
2.348656,75.0
2.246688,80.0
2.104472,85.0
1.994648,90.0
1.954392,95.0
3.831528,100.0
3.645656,105.0
1.617368,110.0
3.895584,115.0
3.90076,120.0
3.905064,125.0
4.194304,130.0
3.82996,135.0
3.63164,140.0
3.831656,145.0
2.260512,150.0
2.211768,155.0
3.943848,160.0
3.803632,165.0
3.815024,170.0
3.162304,175.0
1.604968,180.0
3.754792,185.0
1.600472,190.0
3.807624,195.0
3.82884,200.0
2.442776,205.0
3.09848,210.0
3.028032,215.0
3.146456,220.0
1.587016,225.0
3.842552,230.0
3.97052,235.0
1.566872,240.0
3.697008,245.0
3.740432,250.0
3.819216,255.0
1.606128,260.0
3.335208,265.0
1.756104,270.0
1.765184,275.0
1.696912,280.0
1.726688,285.0
1.836008,290.0
