bandwidth,start_time_elapsed
3.06324,0.0
3.35404,5.0
3.294816,10.0
3.098744,15.0
3.05708,20.0
3.409112,25.0
3.5758,30.0
4.090672,35.0
3.725144,40.0
3.195384,45.0
3.208392,50.0
3.114568,55.0
2.918744,60.0
3.070528,65.0
2.754112,70.0
3.398728,75.0
2.87352,80.0
3.492552,85.0
3.450072,90.0
3.484832,95.0
3.0488,100.0
3.315576,105.0
3.039864,110.0
3.115448,115.0
3.239768,120.0
3.444472,125.0
3.201472,130.0
2.843968,135.0
2.927232,140.0
3.318664,145.0
3.316512,150.0
3.183424,155.0
3.445568,160.0
3.691256,165.0
3.410696,170.0
2.855048,175.0
3.365488,180.0
3.177504,185.0
3.20964,190.0
2.884616,195.0
3.126744,200.0
3.309128,205.0
3.17256,210.0
3.611344,215.0
3.229496,220.0
2.945232,225.0
3.566384,230.0
3.457344,235.0
3.140992,240.0
3.373752,245.0
3.30808,250.0
3.134904,255.0
3.506272,260.0
3.10096,265.0
3.780248,270.0
3.130144,275.0
3.4484,280.0
3.330936,285.0
3.731216,290.0
