bandwidth,start_time_elapsed
3.539312,0.0
3.550848,5.0
3.301912,10.0
2.45528,15.0
3.066432,20.0
3.065,25.0
3.672728,30.0
3.609624,35.0
1.288408,40.0
2.9298,45.0
3.642576,50.0
3.6784,55.0
3.456112,60.0
3.30376,65.0
3.444296,70.0
3.299152,75.0
3.2582,80.0
3.111896,85.0
3.541568,90.0
3.216816,95.0
3.234392,100.0
3.12704,105.0
3.35276,110.0
3.57964,115.0
3.058776,120.0
2.981128,125.0
3.304136,130.0
1.783976,135.0
3.287416,140.0
3.097744,145.0
2.98896,150.0
3.308824,155.0
2.792672,160.0
3.417552,165.0
3.308728,170.0
2.937504,175.0
3.407112,180.0
3.601384,185.0
2.788512,190.0
3.589088,195.0
3.605536,200.0
2.75528,205.0
3.57672,210.0
3.329128,215.0
3.59244,220.0
3.412,225.0
3.036776,230.0
3.029664,235.0
3.120272,240.0
2.818184,245.0
3.263336,250.0
2.722712,255.0
3.468088,260.0
1.9622,265.0
2.762432,270.0
3.632312,275.0
3.279744,280.0
3.1308,285.0
3.594568,290.0
