bandwidth,start_time_elapsed
2.732592,0.0
2.74976,5.0
2.71396,10.0
2.715184,15.0
2.737632,20.0
2.74032,25.0
2.719512,30.0
2.673952,35.0
2.716288,40.0
2.661184,45.0
2.812952,50.0
2.73304,55.0
2.699896,60.0
2.751808,65.0
2.66908,70.0
2.681272,75.0
2.736224,80.0
2.8704,85.0
2.77788,90.0
2.870816,95.0
2.82908,100.0
2.80908,105.0
2.860928,110.0
2.847224,115.0
2.884064,120.0
2.828608,125.0
2.80768,130.0
2.770472,135.0
2.83948,140.0
2.830592,145.0
2.871624,150.0
2.825752,155.0
2.707768,160.0
2.596928,165.0
2.829664,170.0
2.858536,175.0
2.80504,180.0
2.830176,185.0
2.866136,190.0
2.870992,195.0
2.907424,200.0
2.893128,205.0
2.598992,210.0
2.454552,215.0
2.829464,220.0
2.808896,225.0
2.726488,230.0
2.9004,235.0
2.850896,240.0
2.74664,245.0
2.741176,250.0
2.927048,255.0
2.820408,260.0
2.819856,265.0
2.901016,270.0
2.596744,275.0
2.881168,280.0
2.836104,285.0
2.760968,290.0
